Date,Time,Temperature,Humidity,Pressure,Altitude,SeaLevelPressure,AmbientLight,DewPoint,AirDensity,,,
04-11-2023,06:28:09,27,59,91014,895.9625138,91014,270,19,1.056203755,,,
04-11-2023,06:28:16,27,60,91020,895.9625138,91011,285.4166667,19,1.056203755,,,
04-11-2023,06:28:30,27,60,91012,896.5073959,91008,276.6666667,19,1.056203755,,,
04-11-2023,06:34:31,27,60,91003,897.1431285,91001,257.9166667,19,1.056203755,,,
04-11-2023,06:34:38,27,59,91001,896.9614866,91003,254.1666667,18.8,1.056180542,,,
04-11-2023,06:35:05,27,60,91006,897.4155975,91007,241.25,19,1.056238574,,,
04-11-2023,06:35:14,27,60,91003,897.0523072,91045,248.75,19,1.056203755,,,
04-11-2023,06:35:21,27,60,91002,435.6937043,90999,256.6666667,19,1.056192149,,,
04-11-2023,06:35:28,27,60,91009,897.5064221,91010,237.0833333,19,1.056273392,,,
04-11-2023,14:46:14,25,69,91084,890.1522465,91081,75.41666667,18.8,1.064235217,,,
04-11-2023,14:46:21,25,69,91082,889.9707289,91089,80.41666667,18.8,1.064211849,,,
04-11-2023,14:46:34,25,69,91084,890.0614873,91074,72.5,18.8,1.064235217,,,
04-11-2023,14:46:41,25,69,91084,890.2430065,91089,74.16666667,18.8,1.064235217,,,
04-11-2023,14:46:47,25,69,91085,890.8783491,91070,72.5,18.8,1.064246901,,,
04-11-2023,14:47:11,25,69,91082,890.4245289,91077,112.5,18.8,1.064211849,,,
04-11-2023,14:47:17,25,69,91084,889.6984586,91084,548.3333333,18.8,1.064235217,,,
04-11-2023,14:47:24,25,69,91087,889.9707289,91082,403.3333333,18.8,1.064270269,,,
04-11-2023,14:47:31,25,69,91085,889.6984586,91088,483.75,18.8,1.064246901,,,
04-11-2023,14:47:38,25,69,91079,890.5152913,91081,439.5833333,18.8,1.064176797,,,
04-11-2023,14:47:57,25,69,91078,889.9707289,91085,628.75,18.8,1.064165112,,,
04-11-2023,14:48:18,25,69,91085,890.2430065,91086,488.3333333,18.8,1.064246901,,,
04-11-2023,14:48:34,25,69,91088,889.7892146,91083,981.25,18.8,1.064281953,,,
04-11-2023,14:48:41,25,69,91077,890.4245289,91087,967.9166667,18.8,1.064153428,,,
04-11-2023,14:49:02,25,70,91089,890.3337673,91082,114.5833333,19,1.064293638,,,
04-11-2023,14:49:11,25,70,91081,890.2430065,91088,114.5833333,19,1.064200165,,,
04-11-2023,14:49:19,25,70,91088,890.0614873,91084,114.1666667,19,1.064281953,,,
04-11-2023,14:49:28,25,70,91085,890.6060546,91079,114.1666667,19,1.064246901,,,
04-11-2023,14:49:35,25,70,91081,889.6077035,91082,103.3333333,19,1.064200165,,,
04-11-2023,14:49:53,25,69,91078,889.6984586,91088,114.5833333,18.8,1.064165112,,,
04-11-2023,14:50:02,25,70,91085,890.4245289,91076,113.3333333,19,1.064246901,,,
04-11-2023,14:50:38,25,69,91084,889.2446909,91082,114.5833333,18.8,1.064235217,,,
04-11-2023,14:51:36,24,69,91088,889.7892146,91086,115.4166667,17.8,1.067863585,,,
04-11-2023,14:51:43,24,69,91082,889.8799714,91077,112.9166667,17.8,1.067793245,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
